0.00-23.00 press up
35.26 steer -24385
35.27 steer -22649
35.28 steer -19763
35.29 steer 0
35.54 steer 16834
35.56 steer 37521
35.57 steer 39062
35.58 steer 43461
35.59 steer 45459
35.60 steer 47097
35.61 steer 48395
35.62 steer 49434
35.63 steer 48840
35.64 steer 46695
35.65 steer 23195
35.66 steer 0
35.73 steer -11123
35.74 steer -11704
35.75 steer -14373
35.76 steer -16105
35.77 steer -17724
35.78 steer -19241
35.79 steer -22759
35.80 steer -25027
35.81 steer -27248
35.82 steer -29943
35.83 steer -45994
35.84 steer -46939
35.85 steer -48618
35.86 steer -50170
35.87 steer -52620
35.88 steer -53492
35.89 steer -54175
35.90 steer -54657
35.91 steer -52489
35.92 steer -36929
35.93 steer -35241
35.94 steer -15977
35.95 steer -14383
35.96 steer -13158
35.97 steer -13011
35.98 steer -15993
35.99 steer -34571
36.00 steer -36145
36.01 steer -38824
36.02 steer -59561
36.03 steer -65536
36.16 steer -64226
36.17 steer -61226
36.18 steer -38798
36.19 steer -36381
36.20 steer -11960
36.21 steer 0
37.28 steer -2187
37.29 steer -4419
37.30 steer -6713
37.31 steer -9004
37.32 steer -14013
37.33 steer -16055
37.34 steer -17729
37.35 steer -19094
37.36 steer -21073
37.37 steer -21782
37.38 steer -22337
37.39 steer -22780
37.40 steer -23440
37.41 steer -23676
37.42 steer -23865
37.43 steer -24016
37.44 steer -24257
37.46 steer -24397
37.48 steer -24500
37.52 steer -24624
37.54 steer -23878
37.55 steer -23192
37.56 steer -22174
37.57 steer -19887
37.58 steer -18607
37.59 steer -15360
37.61 steer -7355
37.63 steer -4809
37.64 steer 0
37.78 steer 1187
37.79 steer 1786
37.80 steer 2222
37.81 steer 2584
37.82 steer 3054
37.83 steer 3183
37.84 steer 3286
37.86 steer 2731
37.87 steer 1692
37.88 steer 738
37.89 steer 0
38.25 steer 1733
38.26 steer 3066
38.27 steer 4527
38.28 steer 7701
38.29 steer 9745
38.30 steer 11571
38.31 steer 13222
38.32 steer 15745
38.33 steer 16669
38.34 steer 17410
38.35 steer 17988
38.36 steer 18451
